state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,recharge_total,minutes_total,calls_total,rechargesPerMinute,plan,churn,prob,cluster
WA,40,area_code_415,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,50.89000000000001,537.9000000000001,271,0.0946086633203197,Apenas Correio de Voz,0,0.02652825336153799,2
WY,43,area_code_415,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,70.46,631.4,280,0.1115932847640164,Apenas Internacional,0,0.02142824628315996,1
MN,113,area_code_408,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,46.88,469.2000000000001,359,0.0999147485080989,Apenas Internacional,0,0.021286062259917873,0
UT,126,area_code_408,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,63.42999999999999,589.8,212,0.1075449304849101,Nenhum,0,0.02128625483521989,1
TX,150,area_code_510,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,55.2,510.4,318,0.1081504702194357,Nenhum,1,0.9694037279230825,3
NJ,138,area_code_408,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,72.08,719.4,290,0.1001946066166249,Nenhum,0,0.021283987633861225,1
MN,162,area_code_510,0,1,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,68.96,679.8000000000001,244,0.1014416004707266,Apenas Correio de Voz,0,0.02134350125446829,2
NM,147,area_code_510,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,64.84,578.0,284,0.1121799307958477,Nenhum,0,0.021282732677956218,1
NV,90,area_code_415,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,62.67999999999999,589.8,373,0.1062733129874533,Nenhum,0,0.02131063493167227,1
HI,85,area_code_415,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,65.16,593.2,305,0.1098449089683074,Nenhum,0,0.021289392363700203,1
MN,50,area_code_415,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,55.49999999999999,567.9,276,0.097728473322768,Nenhum,0,0.021295025848616905,0
DC,82,area_code_415,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,81.75,763.1000000000001,286,0.1071288166688507,Nenhum,1,0.9694539546151587,3
NY,144,area_code_408,0,0,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,27.02,319.9,312,0.0844638949671772,Nenhum,1,0.9690061020016383,3
MN,46,area_code_415,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,60.57,564.2,294,0.1073555476781283,Nenhum,0,0.02128145807911555,1
MD,70,area_code_408,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,56.46,569.0,279,0.0992267135325131,Nenhum,0,0.02134772533035796,0
WV,144,area_code_415,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,73.63,741.8000000000001,295,0.0992585602588298,Nenhum,0,0.0212835948211309,1
OR,116,area_code_415,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,69.96000000000001,711.3000000000001,300,0.0983551244200759,Apenas Internacional,0,0.021300669665349086,1
CO,55,area_code_408,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,50.6,488.4,313,0.1036036036036036,Apenas Correio de Voz,0,0.021387579924518514,2
GA,70,area_code_415,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,77.16000000000001,741.6999999999999,272,0.1040312794930565,Apenas Correio de Voz,0,0.021735148303539762,2
TX,106,area_code_510,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,68.94,663.5999999999999,272,0.1038878842676311,Nenhum,1,0.8504493200628606,3
VT,128,area_code_510,0,1,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,66.53999999999999,736.8000000000001,275,0.0903094462540716,Apenas Correio de Voz,0,0.021285569628216733,2
IN,94,area_code_408,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,50.71,510.5,299,0.0993339862879529,Nenhum,1,0.9692203811730286,3
WV,111,area_code_510,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,65.6,617.2,295,0.1062864549578742,Nenhum,0,0.022061833593296783,1
KY,74,area_code_415,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,48.72,490.5,256,0.0993272171253822,Apenas Correio de Voz,0,0.02151633731164107,2
NJ,128,area_code_415,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,74.64,708.3,291,0.1053790766624311,Nenhum,1,0.9694246144998818,3
DC,82,area_code_510,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,48.96,459.5,263,0.106550598476605,Nenhum,0,0.021343941339861845,0
LA,155,area_code_415,0,0,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,62.03,599.1999999999999,327,0.1035213618157543,Nenhum,1,0.8461865033060665,3
AR,80,area_code_415,0,0,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,49.36000000000001,558.4,279,0.0883954154727793,Nenhum,0,0.02219884510046171,0
ME,78,area_code_415,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,72.6,704.7,320,0.1030225627926777,Nenhum,0,0.021281578038586747,1
AZ,90,area_code_415,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,55.26,508.0,253,0.1087795275590551,Nenhum,0,0.021290476626140392,1
AK,104,area_code_408,0,0,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,64.21000000000001,532.3999999999999,362,0.1206048084147258,Nenhum,0,0.02130743071177457,1
MT,73,area_code_415,0,0,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,56.68999999999999,560.5,258,0.1011418376449598,Nenhum,0,0.021423621540775345,0
AZ,99,area_code_415,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,62.25000000000001,605.1,283,0.1028755577590481,Nenhum,0,0.021321223882770805,1
MS,120,area_code_408,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,62.81,594.0,337,0.1057407407407407,Nenhum,1,0.8663080652774202,3
ID,77,area_code_415,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,75.32000000000001,742.5,316,0.1014410774410774,Nenhum,1,0.9690505046803288,3
IA,98,area_code_510,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,57.24,577.9999999999999,301,0.0990311418685121,Apenas Correio de Voz,0,0.021388053196004928,2
MA,108,area_code_415,0,0,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,56.13,511.0,320,0.1098434442270058,Nenhum,0,0.02138383704611942,1
VT,135,area_code_415,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,46.85,461.2,293,0.1015828274067649,Nenhum,0,0.02128706790757015,0
KY,95,area_code_408,0,0,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,52.98,576.4000000000001,317,0.0919153365718251,Nenhum,0,0.02138833312827144,0
IN,122,area_code_408,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,57.99,604.0999999999999,281,0.0959940407217348,Nenhum,0,0.02129247830501968,1
AZ,95,area_code_408,0,0,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,68.13,627.0999999999999,286,0.1086429596555573,Nenhum,0,0.021488274708620737,1
MI,36,area_code_510,0,1,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,75.88000000000001,679.8,299,0.1116210650191232,Apenas Correio de Voz,0,0.022725196170553432,2
NM,93,area_code_510,0,1,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,46.42999999999999,509.2,336,0.0911822466614296,Apenas Correio de Voz,0,0.021282095885197447,0
CO,141,area_code_415,0,1,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,49.0,509.2000000000001,332,0.0962293794186959,Apenas Correio de Voz,0,0.02191494822399698,2
UT,157,area_code_408,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,65.09,628.7,329,0.1035310959121997,Nenhum,0,0.021281473717006942,1
MI,120,area_code_408,0,0,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,62.61000000000001,609.6999999999999,278,0.1026898474659668,Nenhum,0,0.021380054289683426,1
MA,103,area_code_415,0,0,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,63.86,643.7,306,0.0992077054528507,Nenhum,0,0.02129141992262847,1
AL,98,area_code_408,0,0,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,57.120000000000005,591.6999999999999,351,0.0965354064559743,Nenhum,0,0.023274848378498313,1
DE,125,area_code_408,0,0,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,53.78999999999999,593.8,320,0.0905860559110811,Nenhum,0,0.02269295419926183,0
AZ,63,area_code_415,0,0,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,36.48,449.3,276,0.0811929668373024,Nenhum,0,0.02130241644028023,0
ME,36,area_code_510,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,66.75,610.0,343,0.1094262295081967,Ambos,1,0.9694177276347217,3
NJ,64,area_code_510,0,0,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,47.010000000000005,386.6,318,0.1215985514743921,Nenhum,0,0.02129667972960051,0
NV,74,area_code_415,0,0,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,76.91000000000001,681.8,282,0.1128043414491053,Nenhum,1,0.9694538284863385,3
MO,112,area_code_510,0,1,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,43.41,458.8,322,0.0946163905841325,Apenas Correio de Voz,0,0.02134385160327058,2
ID,97,area_code_408,0,0,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2,67.83,606.6000000000001,324,0.1118199802176063,Nenhum,0,0.02207787416767072,1
NE,46,area_code_408,0,0,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,67.59,650.7,293,0.1038727524204702,Nenhum,0,0.02130027636748663,1
TX,41,area_code_408,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,56.74,505.0,314,0.1123564356435643,Apenas Correio de Voz,0,0.02182078103831693,2
MD,121,area_code_510,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,60.61,604.8,330,0.100214947089947,Nenhum,0,0.021302691887909335,1
MS,193,area_code_415,0,0,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,48.51,427.7000000000001,312,0.1134206219312602,Nenhum,0,0.021418216257397326,0
NV,130,area_code_510,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,48.29,501.0,341,0.0963872255489022,Nenhum,0,0.02268948374320386,0
AZ,85,area_code_408,0,0,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,68.33999999999999,695.3,266,0.0982885085574572,Nenhum,0,0.021471238881170394,1
MS,162,area_code_415,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,34.84,392.1,284,0.0888548839581739,Nenhum,1,0.9694454360590681,3
MS,61,area_code_510,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,56.23,566.1999999999999,366,0.099311197456729,Apenas Correio de Voz,1,0.9691549703290618,3
TX,92,area_code_408,0,0,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,42.41,469.6,305,0.0903109028960817,Nenhum,0,0.021442996075219007,0
NE,131,area_code_408,0,1,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,64.63,650.0999999999999,341,0.0994154745423781,Apenas Correio de Voz,0,0.02128308098299693,2
NE,90,area_code_415,0,0,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,52.78999999999999,521.0,334,0.1013243761996161,Nenhum,0,0.02139994573400273,0
CA,75,area_code_408,0,0,0,166.3,125,28.27,158.2,86,13.45,256.7,80,11.55,6.1,5,1.65,1,54.92,587.3000000000001,297,0.0935126851694193,Nenhum,0,0.021285617797634156,0
NJ,78,area_code_415,0,0,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,73.17999999999999,732.3,379,0.0999317219718694,Nenhum,0,0.021310463732297134,1
TX,82,area_code_408,0,0,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,62.34,614.7,263,0.1014153245485602,Nenhum,0,0.021485036728118377,1
AR,163,area_code_408,0,0,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,62.46,615.1,328,0.1015444643147455,Nenhum,0,0.022222162960478402,1
